ID;Empty Spaces;Negative Space;Interesting Elements;Significant Jumps;Linearity;Leniency;Avg Enemy Comp;Density
199;0,91013646;0,1430502;0,13977739;0,6551724;0,34043488;0,77;0,38354036;0,35714287
2;0,9083101;0,13585983;0,13318412;0,79310346;0,571052;0,81;0,40714285;0,45238096
20;0,8912641;0,15326805;0,1542826;0,82758623;0,4090709;0,77;0,5015528;0,5119048
200;0,9543252;0,21371536;0,08510638;0,44827586;0,42356688;0,32;0,36190477;0,077380955
201;0,9581032;0,1728511;0,031096563;0,31034482;0,58598727;0,23;0,0;0,22023809
202;0,9543252;0,21512449;0,06546645;0,44827586;0,477707;0,21;0,6031746;0,083333336
203;0,95659196;0,21371536;0,0671031;0,41379312;0,40127388;0,23;0,0;0,071428575
204;0,8477853;0,32738376;0,20785597;0,5862069;0,50318474;0,29;0,5234694;0,35119048
205;0,9626368;0,17472993;0,034369886;0,31034482;0,33439487;0,25;0,03877551;0,125
206;0,92183423;0,20620011;0,062193125;0,62068963;0,6305732;0,31;0,27142859;0,3392857
207;0,94828033;0,1831846;0,04418985;0,51724136;0,4745223;0,29;0,35285714;0,20238096
208;0,89614385;0,21841241;0,05728314;0,3448276;0,30573246;0,18;0,16285715;0,4940476
209;0,8870766;0,26538283;0,13747954;0,62068963;0,35668787;0,37;0,8142857;0,35714287
21;0,8863937;0,16121529;0,13714008;0,7241379;0,34592575;0,69;0,43227515;0,5
210;0,95054716;0,20995773;0,08346972;0,55172414;0,6560509;0,27;0,35285714;0,0
211;0,5183429;1,0;1,0;0,62068963;0,11464968;0,33;0,4373016;0,0952381
212;0,94903594;0,21559419;0,06546645;0,37931034;0,45222926;0,16;0,03877551;0,08928572
213;0,96036994;0,17472993;0,058919802;0,6551724;0,6178344;0,31;0,59940475;0,023809524
214;0,96112555;0,19304839;0,04091653;0,37931034;0,28025475;0,21;0,33174604;0,065476194
215;0,92561233;0,22968529;0,09328968;0,3448276;0,3184713;0,18;0,40714285;0,20833333
216;0,73595625;0,5805543;0,492635;0,37931034;0,34394905;0,07;0,44107142;0,20238096
217;0,9550808;0,18835135;0,055646483;0,5862069;0,433121;0,38;0,5846154;0,15476191
218;0,91125584;0,18553312;0,03927987;0,55172414;0,5923567;0,33;0,26011905;0,4940476
219;0,93694633;0,21465479;0,049099836;0,31034482;0,21974522;0,17;0,36190477;0,23809524
22;0,87482685;0,1468346;0,14109604;0,6896552;0,49143422;0,7;0,34813666;0,6547619
220;0,91881186;0,27289808;0,12765957;0,37931034;0,3821656;0,16;0,7125;0,13095239
221;0,93316835;0,17566933;0,047463175;0,62068963;0,63375795;0,34;0,37321427;0,22619048
